0.000,0.000,0.000,0.455,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.189,0.151,0.000,-0.455,0.109,0.189,0.333,0.278,0.312,0.222,0.208,0.312
0.243,0.151,0.000,0.455,0.174,0.057,0.333,0.139,0.156,0.222,0.208,0.312
0.000,0.000,0.213,-0.227,0.109,0.000,0.000,0.000,0.000,0.000,0.208,0.312
0.000,0.000,0.000,0.136,0.109,0.057,0.000,0.278,0.000,0.000,0.208,0.000
0.000,0.000,0.213,0.318,0.130,0.057,0.333,0.000,0.000,0.000,0.125,0.000
0.135,0.151,0.000,-0.227,0.174,0.170,0.000,0.000,0.000,0.111,0.042,0.062
0.000,0.189,0.149,0.227,0.000,0.189,0.000,0.278,0.000,0.000,0.000,0.000
0.081,0.189,0.106,0.227,0.043,0.189,0.000,0.028,0.000,0.000,0.000,0.000
0.216,0.132,0.213,0.000,0.043,0.000,0.000,0.000,0.312,0.222,0.000,0.000
0.135,0.038,0.106,0.091,0.109,0.094,0.000,0.000,0.219,0.222,0.000,0.000
0.000,0.000,0.000,-0.227,0.000,0.000,0.000,0.000,0.000,0.000,0.208,-0.312
0.000,0.000,0.000,0.227,0.000,0.000,0.000,0.000,0.000,0.000,-0.208,0.312
